temp, pres, hum
000000000000, 010101000011001000010000, 00000000
000000000001, 010000110010000100000001, 00000001
000000010001, 001100100001000000010010, 00010010
000100010001, 001000010000000100100011, 00100011
001000100010, 000100000001001000110100, 00110100
001100110011, 000000010010001101000101, 01000101
010001000100, 000100100011010001010111, 01010111
010101010101, 001000110100010101111000, 01111000
011001100110, 001101000101011110001001, 10001001
011101110111, 010001010111100010011000, 10011000
100000000000, 010101111000100110000111, 10000111
100101000100, 011110001001100001110101, 01110101
100101100011, 100010011000011101010100, 01010100
100101110110, 100110000111010101000011, 01000011
100110001000, 100001110101010000110010, 00110010
100110011001, 011101010100001100100001, 00100001
