temp_sgn, temp3, temp2, temp_point, temp1, pres6, pres5, pres4, pres3, pres2, pres1, hum2, hum1
00101011, 00110000, 00110000, 00101110, 00110000, 00110101, 00110100, 00110011, 00110010, 00110001, 00110000, 00110000, 00110000
00101011, 00110000, 00110000, 00101110, 00110001, 00110100, 00110011, 00110010, 00110001, 00110000, 00110001, 00110000, 00110001
00101011, 00110000, 00110001, 00101110, 00110001, 00110011, 00110010, 00110001, 00110000, 00110001, 00110010, 00110001, 00110010
00101011, 00110001, 00110001, 00101110, 00110001, 00110010, 00110001, 00110000, 00110001, 00110010, 00110011, 00110010, 00110011
00101011, 00110010, 00110010, 00101110, 00110010, 00110001, 00110000, 00110001, 00110010, 00110011, 00110100, 00110011, 00110100
00101011, 00110011, 00110011, 00101110, 00110011, 00110000, 00110001, 00110010, 00110011, 00110100, 00110101, 00110100, 00110101
00101011, 00110100, 00110100, 00101110, 00110100, 00110001, 00110010, 00110011, 00110100, 00110101, 00110111, 00110101, 00110111
00101011, 00110101, 00110101, 00101110, 00110101, 00110010, 00110011, 00110100, 00110101, 00110111, 00111000, 00110111, 00111000
00101011, 00110110, 00110110, 00101110, 00110110, 00110011, 00110100, 00110101, 00110111, 00111000, 00111001, 00111000, 00111001
00101011, 00110111, 00110111, 00101110, 00110111, 00110100, 00110101, 00110111, 00111000, 00111001, 00111000, 00111001, 00111000
00101011, 00111000, 00110000, 00101110, 00110000, 00110101, 00110111, 00111000, 00111001, 00111000, 00110111, 00111000, 00110111
00101011, 00111001, 00110100, 00101110, 00110100, 00110111, 00111000, 00111001, 00111000, 00110111, 00110101, 00110111, 00110101
00101011, 00111001, 00110110, 00101110, 00110011, 00111000, 00111001, 00111000, 00110111, 00110101, 00110100, 00110101, 00110100
00101011, 00111001, 00110111, 00101110, 00110110, 00111001, 00111000, 00110111, 00110101, 00110100, 00110011, 00110100, 00110011
00101011, 00111001, 00111000, 00101110, 00111000, 00111000, 00110111, 00110101, 00110100, 00110011, 00110010, 00110011, 00110010
00101011, 00111001, 00111001, 00101110, 00111001, 00110111, 00110101, 00110100, 00110011, 00110010, 00110001, 00110010, 00110001
